"","MEblack","MEblue","MEbrown","MEgreen","MEred","MEturquoise","MEyellow"
"1",0.478516536278498,-0.311199408029833,-0.141967374745094,-0.214193599375491,0.278503870953768,0.158106398427732,-0.191579823603529
"2",0.296091985227577,-0.102928626774135,-0.164086790508759,-0.155548687174041,0.226747687466708,0.170342375272194,0.140617547021339
"3",-0.25642959637299,-0.123070355438615,0.36047155771691,0.0922495195299888,-0.37963562182484,-0.625094025481209,0.195977232832322
"4",-0.0461530972666698,-0.559045619061878,-0.188421934809125,0.28193396125294,0.230295451206366,-0.452137503476496,0.0148494978031704
"5",0.102526083730579,-0.248906412312189,0.0891871985747043,0.265252251929433,0.364585147573845,-0.169001153374227,0.167759020309346
"6",0.317076593741832,-0.0448847453527187,-0.478141850593946,0.486337120654044,0.268267906572062,0.0514099646663633,0.310743554909658
"7",0.256477010262755,0.134532667092203,0.100666809421647,-0.30660635266143,-0.14008770406779,0.19756148201116,0.0970863818075588
"8",0.182446806714397,0.393449084821492,-0.138226927525061,-0.0344148346474585,-0.158207938008599,0.195857634824604,0.037370545950007
"9",-0.305614071272925,0.202452294250915,0.0609275433382183,0.00716832007634667,-0.300014000890245,-0.0410323251166466,-0.53067094180058
"10",-0.346499770798238,0.240681628866486,-0.0403080223469973,-0.299585457289613,-0.219733860804224,0.0555711506599117,-0.369458905515537
"11",-0.324647368473663,-0.0106693396143317,0.221348909810702,0.0727594605925403,-0.178854968966644,-0.199153857112753,0.0858360159715766
"12",-0.226787108869179,-0.216031745910643,0.618378649441057,-0.196485160465831,-0.131856075533308,-0.163078696618436,0.0227921959217005
"13",-0.178720287736338,0.20928508468572,-0.159331015951197,-0.325643639795185,-0.0604875356539424,0.160751760866631,-0.0297415650445014
"14",0.00479614155552718,0.348468933075728,-0.232269351311334,-0.191619618945976,-0.284569331860194,0.215440760389408,-0.320636028286303
"15",0.0550330333048518,0.12524382103973,0.0194967261917258,0.138736823931892,0.11141792073731,0.231302571250893,0.477424859256774
"16",-0.0081128900260147,-0.0373772613379315,0.072275873296548,0.37965989238784,0.373629053099727,0.213153462810871,-0.108369587533002
